	Commodities/Industries	111CA	113FF	211	212	213	22	23	321	327	331	332	333	334	335	3361MV	3364OT	337	339	311FT	313TT	315AL	322	323	324	325	326	42	441	445	452	4A0	481	482	483	484	485	486	487OS	493	511	512	513	514	521CI	523	524	525	 HS	 ORE	532RL	5411	5415	5412OP	55	561	562	61	621	622	623	624	711AS	713	721	722	81	 GFGD	 GFGN	GFE	GSLG	GSLE
IOCode	Name	Farms	Forestryfishingandrelatedactivities	Oilandgasextraction	Miningexceptoilandgas	Supportactivitiesformining	Utilities	Construction	Woodproducts	Nonmetallicmineralproducts	Primarymetals	Fabricatedmetalproducts	Machinery	Computerandelectronicproducts	Electricalequipmentappliancesandcomponents	Motorvehiclesbodiesandtrailersandparts	Othertransportationequipment	Furnitureandrelatedproducts	Miscellaneousmanufacturing	Foodandbeverageandtobaccoproducts	Textilemillsandtextileproductmills	Apparelandleatherandalliedproducts	Paperproducts	Printingandrelatedsupportactivities	Petroleumandcoalproducts	Chemicalproducts	Plasticsandrubberproducts	Wholesaletrade	Motorvehicleandpartsdealers	Foodandbeveragestores	Generalmerchandisestores	Otherretail	Airtransportation	Railtransportation	Watertransportation	Trucktransportation	Transitandgroundpassengertransportation	Pipelinetransportation	Othertransportationandsupportactivities	Warehousingandstorage	Publishingindustriesexceptinternetincludessoftware	Motionpictureandsoundrecordingindustries	Broadcastingandtelecommunications	Dataprocessinginternetpublishingandotherinformationservices	FederalReservebankscreditintermediationandrelatedactivities	Securitiescommoditycontractsandinvestments	Insurancecarriersandrelatedactivities	Fundstrustsandotherfinancialvehicles	Housing	Otherrealestate	Rentalandleasingservicesandlessorsofintangibleassets	Legalservices	Computersystemsdesignandrelatedservices	Miscellaneousprofessionalscientificandtechnicalservices	Managementofcompaniesandenterprises	Administrativeandsupportservices	Wastemanagementandremediationservices	Educationalservices	Ambulatoryhealthcareservices	Hospitals	Nursingandresidentialcarefacilities	Socialassistance	Performingartsspectatorsportsmuseumsandrelatedactivities	Amusementsgamblingandrecreationindustries	Accommodation	Foodservicesanddrinkingplaces	Otherservicesexceptgovernment	Federalgeneralgovernmentdefense	Federalgeneralgovernmentnondefense	Federalgovernmententerprises	Stateandlocalgeneralgovernment	Stateandlocalgovernmententerprises
 111CA	Farms	55221	756	0	37	15	0	2162	0	0	0	0	0	0	0	0	0	0	440	207868	2975	0	0	0	0	5394	0	1900	224	994	215	280	0	0	0	0	0	0	66	0	1	0	0	0	0	0	0	0	4	2	0	1	1	438	20	782	0	153	3	67	67	0	0	217	45	942	20	3	-1211	2	2649	0
 113FF	Forestry,fishing,andrelatedactivities	19526	6763	0	77	0	0	0	16031	3	0	0	0	0	10	8	0	57	273	5814	0	57	4919	54	8	481	2654	0	0	252	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	7	1	0	78	0	160	134	0	0	152	226	5014	57	0	64	4	1272	0
 211	Oilandgasextraction	0	0	42854	54	6	77143	0	17	6	44	7	10	0	1	6	3	3	2	15	5	0	17	3	393068	7726	16	112	21	36	40	107	0	0	0	0	16	4352	0	15	9	3	15	2	0	6	3	0	0	93	102	7	3	77	210	23	19	23	42	203	87	30	20	47	142	250	151	0	0	952	0	13526
 212	Mining,exceptoilandgas	2751	4	85	10967	64	9089	17526	15	12351	25404	526	159	84	218	64	213	48	224	1966	140	2	2402	0	1487	4709	174	27	1	0	0	3	0	63	0	4	0	0	3	7	46	25	209	45	9	2	1	0	979	5041	332	1	0	899	76	208	55	207	0	65	39	14	159	513	72	248	407	0	780	0	1607	5711
 213	Supportactivitiesformining	0	0	5291	1356	1474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 22	Utilities	5091	61	2282	2360	270	5231	3341	1739	5750	8148	4483	2403	2570	1074	2790	1446	726	1028	10384	1435	207	7865	1516	3197	19539	3928	6853	1221	4465	2705	7734	185	37	968	768	697	267	1570	1956	608	240	2309	614	1472	1100	412	5	0	76698	1021	439	555	3238	5342	1533	441	8330	2298	5799	2418	935	688	2010	4070	8531	4254	2547	725	1855	20069	1291
 23	Construction	2248	44	5156	1447	631	7355	187	273	521	782	819	592	754	208	519	303	148	224	1308	126	34	731	397	4143	1446	536	1503	293	569	218	1808	6	696	34	213	673	1048	1410	219	102	55	1932	106	5284	642	107	21	63168	42081	166	148	41	819	739	362	35	357	497	639	391	344	116	255	909	1185	2995	3546	2281	2188	18278	30747
 321	Woodproducts	539	389	0	59	65	3	60264	24976	529	422	267	1008	870	317	3343	321	9290	1189	342	69	5	4568	9	1	390	1634	1885	98	459	175	909	0	1967	0	145	0	16	98	53	286	170	550	1371	120	2	23	0	297	3098	1003	10	8	655	3	634	47	87	346	179	8	710	14	210	787	3312	219	42	37	3	4338	149
 327	Nonmetallicmineralproducts	21	12	312	304	334	266	97439	1542	20820	3229	1635	2604	1222	1913	6790	466	404	904	5709	225	0	302	3	1241	1895	1952	308	228	93	237	818	1	7	0	46	2	4	52	32	19	4	1038	1088	74	39	19	0	3775	108	254	9	59	4207	120	1076	127	195	2630	1107	223	260	26	225	105	5154	1283	65	374	0	2029	1996
 331	Primarymetals	103	0	1246	642	498	11	5641	342	1327	84622	86750	39764	11769	22490	42425	13775	4367	7614	4977	268	0	429	42	188	460	2010	1041	10	0	1	830	0	1274	0	0	0	0	212	0	52	28	323	159	0	0	5	0	4	2531	467	0	6	2233	37	291	775	136	180	50	19	175	34	318	22	328	495	121	216	0	356	508
 332	Fabricatedmetalproducts	2654	146	1305	836	401	957	103593	3966	3513	5738	43227	33215	15186	10478	37148	13502	4105	5144	14239	741	219	4394	1698	578	9835	7414	1618	296	142	76	1947	359	149	1584	3297	386	1243	1381	227	1516	31	7430	1408	176	49	76	8	142	724	1108	86	693	5580	733	2059	2479	450	437	464	28	1089	48	707	1002	7841	4037	5342	843	371	3528	3497
 333	Machinery	3626	303	3321	5557	3221	1023	34769	615	313	1686	4175	38961	1097	2107	22333	5324	123	1132	2702	42	4	1109	1654	135	2975	1602	1699	138	66	32	459	7	84	10	361	138	399	1776	360	197	55	708	352	15	19	82	1	140	1109	600	26	429	2554	332	3473	3427	1874	230	274	95	71	20	108	136	1370	4852	803	84	57	3637	1011
 334	Computerandelectronicproducts	15	2	8	26	341	220	5950	646	972	1441	3533	6822	87226	4113	14839	10629	903	1899	1509	456	57	1653	1256	212	3792	1736	4206	372	315	53	1157	7	44	1	248	7	40	126	91	3122	1277	24095	2149	5761	763	67	175	8	220	245	1108	2853	8803	8431	3412	556	1563	2461	273	136	203	21	179	899	685	3555	18409	1572	0	2948	1030
 335	Electricalequipment,appliances,andcomponents	562	246	19	25	67	76	43023	927	175	2391	2876	13279	7534	10386	4725	3015	110	929	832	65	10	347	143	139	918	980	492	71	81	198	375	6	213	39	191	69	16	107	427	4	1	2506	385	125	65	49	0	35	210	399	613	623	5181	130	2383	778	884	43	349	261	275	17	201	382	2286	3062	1011	1112	51	2775	1724
 3361MV	Motorvehicles,bodiesandtrailers,andparts	952	98	133	508	158	99	8967	735	637	647	1194	11499	1739	543	171739	4923	358	399	1769	97	3	588	209	149	907	415	3663	6476	972	26	2718	0	109	1	9328	516	3	1188	498	731	55	514	45	303	239	49	0	0	254	699	0	18	2084	510	3898	1436	579	297	253	66	735	78	70	89	929	16507	4694	53	1659	6131	420
 3364OT	Othertransportationequipment	0	63	0	16	0	0	30	56	0	0	49	309	0	0	423	51212	0	0	0	0	0	0	0	0	0	0	10	42	0	0	0	1208	1508	931	8	40	0	728	0	0	0	1	0	0	0	1	0	0	0	6	0	0	1132	103	28	22	0	0	0	0	48	0	17	0	0	328	20775	300	1	16	111
 337	Furnitureandrelatedproducts	3	0	0	0	0	0	23082	1196	2	0	1	501	761	4	465	51	3645	361	0	0	0	2	0	0	0	427	521	148	0	0	633	2	0	2	0	0	0	15	0	1	0	90	441	0	0	0	0	11274	31	117	7	1	266	4	1	0	1	155	25	1	81	887	457	4	979	191	0	0	23	20	18
 339	Miscellaneousmanufacturing	316	4	8	29	12	5	1301	34	338	60	64	3407	16	676	2039	47	47	11744	50	78	310	2	18	16	1152	113	1169	156	167	3	1310	1	3	0	10	8	3	172	101	20	5	139	166	275	107	55	1	3	177	86	39	45	2975	27	2321	1056	667	21011	12767	1523	2127	143	402	429	1257	2599	302	441	0	11995	92
 311FT	Foodandbeverageandtobaccoproducts	27341	236	0	0	0	0	0	27	153	4	0	0	0	0	0	0	0	7	146013	10	922	743	912	262	4104	106	1222	4	2523	647	862	37	0	41	0	0	0	21	0	44	16	0	2	0	0	0	0	0	0	0	0	0	713	121	1	0	6239	13	8032	4692	3764	723	3497	8230	66246	866	1458	-278	334	33723	0
 313TT	Textilemillsandtextileproductmills	325	136	0	5	0	0	2526	924	467	0	0	1059	28	7	3300	1283	4220	2752	186	13576	4169	2705	576	72	3	2734	958	52	138	1954	2078	0	0	128	16	0	6	68	3	28	194	6	15	0	5	23	0	6	59	125	0	0	257	5	189	120	29	43	733	883	326	2	727	675	482	955	1611	181	2	1564	9
 315AL	Apparelandleatherandalliedproducts	64	0	0	0	0	3	0	0	2	0	0	0	1	0	2562	0	0	138	20	526	3627	0	1269	16	0	1	1127	21	1	1473	151	0	0	0	0	0	0	0	0	11	48	247	0	2	0	0	0	0	0	85	0	0	97	11	340	203	62	34	19	0	289	136	19	5	16	1680	147	10	115	3135	12
 322	Paperproducts	537	3	21	183	47	232	3383	745	2135	1735	2673	2687	2152	1574	2812	969	1570	2496	23443	646	77	46083	14697	348	6875	5524	3950	147	1255	371	1892	58	58	20	266	193	115	1492	135	4488	192	395	225	1186	300	254	5	6	354	467	374	211	3994	473	3033	294	323	2130	4201	1120	497	126	265	3411	4064	1042	243	1579	132	12884	11
 323	Printingandrelatedsupportactivities	52	2	5	7	0	18	98	30	0	0	4	38	0	15	6	0	0	0	371	0	112	0	3295	17	796	0	5351	125	184	37	3396	0	10	0	364	49	22	141	12	13321	1230	364	1293	729	5570	5378	0	0	38	360	839	226	7492	1300	3123	45	1010	2055	1535	182	992	1018	342	1395	902	1730	1056	1724	426	12826	514
 324	Petroleumandcoalproducts	17224	1449	1974	8158	2864	29294	60499	1061	1854	2331	1158	2010	716	1548	586	496	412	703	3545	286	37	2497	2259	20979	24540	1313	6710	682	851	467	2599	37967	11642	11308	51623	3777	1120	12851	1071	370	93	497	203	2188	310	78	12	838	2926	1476	162	390	1627	2277	5098	1485	758	880	3724	1426	601	305	1168	1967	4096	3107	25583	2339	3389	87286	13563
 325	Chemicalproducts	23083	2906	5768	1627	1079	3154	12968	2747	5636	2132	9057	5150	7898	3870	7684	2124	2232	6841	6376	14624	385	11038	6078	10550	242220	65917	1630	71	77	30	717	3	102	7	295	10	9	715	163	616	183	1069	249	258	210	61	0	176	5174	234	218	97	11727	2652	5768	931	762	31164	32104	2658	731	186	1076	131	994	4741	3249	1743	92	29773	1409
 326	Plasticsandrubberproducts	2014	90	26	1378	175	184	40709	869	1344	884	2828	9027	5149	2334	23099	3923	6813	5434	19194	629	219	2651	682	368	13031	17917	6771	2167	1924	324	4036	16	10	1	1823	48	117	2926	155	756	72	1888	264	76	108	505	1	1087	724	819	121	275	4728	246	1994	314	830	7029	2866	1277	643	53	272	166	7774	6850	1812	473	22	7986	1488
 42	Wholesaletrade	3181	53	73	97	0	1433	14	368	364	1127	877	2348	4699	2377	657	81	517	1573	4598	304	89	1831	169	91	4620	1021	22694	982	367	26	9362	54	0	0	32	0	5	0	0	2279	12	436	0	68	87	69	7	0	0	5039	0	0	0	0	47	8	0	308	22	0	0	0	63	0	3	24	0	0	1	21	0
 4A0	Otherretail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	380	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 481	Airtransportation	0	0	1	18	96	1027	642	265	334	226	698	613	336	47	226	208	215	301	721	55	25	275	508	94	351	447	2864	78	53	186	424	2	6	79	1554	19	2	1018	59	1254	422	675	921	4162	2193	989	118	1	2311	485	786	1551	4592	220	3416	465	897	1704	212	284	290	146	447	230	609	608	7724	1595	830	2747	63
 482	Railtransportation	0	0	0	0	0	188	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	39	2	6	0	26	0	27	0	2480	0	0	2	11	0	0	96	1	2	0	63	0	0	0	4	26	12	222	1	80	0	0	15	9	0	0	0	0	0	0	4	217	33	290	250	0
 483	Watertransportation	0	0	0	0	0	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	558	29	5	2	82	2	11	0	1	0	0	0	0	6	676	47	82	176	0
 484	Trucktransportation	288	0	0	0	231	0	0	51	40	33	133	76	93	20	85	65	44	126	87	27	10	46	54	7	106	61	2566	945	2076	3375	5105	2	75	91	3170	21	1	1132	69	258	83	3	118	0	312	66	2	0	0	90	56	30	968	2	207	56	25	123	94	21	40	34	8	31	162	170	3347	9	344	409	16
 485	Transitandgroundpassengertransportation	0	2	0	5	26	214	218	78	101	71	209	196	104	16	73	61	62	114	214	17	8	83	144	28	112	131	301	11	4	1	60	1	190	0	1	0	1	4	1	361	100	251	407	1801	668	678	34	1	930	173	371	577	2120	74	1218	126	410	836	523	354	70	1593	72	89	250	191	70	4	12	10570	141
 486	Pipelinetransportation	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
