STATEFP,COUNTYFP,FIPS,Producing,NatRes,Construction,Manufacturing,Services,Trade,Information,Financial,Professional,EducationHealth,Hospitality,Other,Public,Unclassified
01,000,01000,1.324967487,0.694126215,0.933941256,1.657772945,0.881474365,1.099390414,0.567790866,0.907666987,0.883217688,1.04901977,0.947286277,0.795676915,1.336789376,0.00484882
01,023,01023,3.381956776,6.414568446,0,0,0.831375702,1.284940015,0.304698927,0.579266674,0.195183362,1.03451005,0.374674671,0.975533376,1.138211638,0.139191768
01,041,01041,2.628050019,2.083356864,0.543258726,3.905957433,0.722926895,0.874642832,0,0.527602259,0.12903596,0.985469007,0.386855931,1.282265252,1.235426863,0
01,049,01049,2.433859233,1.126780364,0.657975926,3.666724638,0.758444371,1.025055456,0.390273945,0.467845988,0.313517508,0.849659263,0.707513327,0.358347717,1.000309785,0.03667555
01,073,01073,0.816617668,0.359631646,0.930478533,0.833275361,0.993899467,1.124048868,0.896627503,1.391530892,0.911514266,1.205663942,0.895106176,0.916919391,1.002668986,0.009262199
01,097,01097,1.201378602,0.407413941,1.175435272,1.355673144,0.974351677,1.121555235,0.506293794,0.79528544,0.875233865,1.007015739,0.862922408,1.051640762,0.85487592,0.002265021
01,103,01103,2.08729414,0.201176768,1.218886667,2.90585427,0.814212445,0.946223066,0.262117094,0.630426487,0.742468637,0.789731131,0.837530915,0.595941115,0.8901618,0.008102683
01,999,01999,0.99133521,0.434741516,2.502849499,0.237604693,1.015390866,1.410885977,0.965363585,1.008499681,2.697677146,0.223002399,0.00053525,0.769277748,0.13008133,0
02,000,02000,1.201772865,3.787789511,1.269799081,0.727452437,0.932643355,1.07227826,0.860589758,0.643493707,0.641778255,0.890130457,1.093748494,0.923778855,2.421341777,0.484438522
02,013,02013,0,0,0,0,0.895711575,2.192927767,2.026090804,0,0.559081922,0,0.946729503,0,10.66174218,2.221328417
02,020,02020,0.740201599,1.854226134,1.360583701,0.203443869,1.026428592,1.248945514,1.29365495,0.869863978,0.986139131,0.800342367,1.087909047,1.190754585,1.722412842,0.431208305
02,050,02050,0.539302329,0,0.758062446,0,1.198188152,1.151675624,0.689581782,2.168803589,0.141580374,0.573323079,0.247318149,1.828566338,5.014307837,0
02,070,02070,0.01244821,0,0.038369275,0,0.657499502,1.524931476,0,1.318872767,0.178980021,2.462138915,1.515392109,1.759028149,4.839831836,0.355559169
02,090,02090,1.002537011,1.55114374,2.265875864,0.200545741,1.09284585,1.183481229,0.620938602,0.60337722,0.460612102,0.701288837,1.199356513,0.785343796,1.857467192,0.522883121
02,100,02100,3.180319676,0,1.647801824,0,0.924769573,0.86384863,0.64427455,0.183255789,0.162468744,0.508413415,2.565445467,0.513897893,0.063311233,0
02,105,02105,0.601462326,0,0.499125553,0,1.046322539,1.082857335,0,0,0,0.239556165,4.604624771,0,3.579747288,0
02,110,02110,0.777031627,3.176092722,0.921440229,0.289913529,1.122852473,1.141593385,0.75970577,0.449423748,0.477962726,0.441621085,0.98614581,1.003780372,4.36396819,0.255843378
02,122,02122,1.301632972,3.914404429,1.153131882,0.945204288,0.880710514,1.131991426,0.53038261,0.470687185,0.257009452,1.002704009,1.523440392,0.954941998,2.404410959,0.416212577
02,130,02130,1.34947577,1.341133435,1.008079639,1.548374215,0.958627498,1.264863657,0.451245777,0.673350056,0.219736412,0.49799777,1.256306336,0.381526648,3.339011562,0.523830283
02,150,02150,2.936848075,2.600107034,0.828534996,4.193744983,0.632102681,0.794187576,0.374882777,0.521609381,0.352002396,0.507739231,0.758050438,0.62600551,1.991852573,0.399590264
02,164,02164,1.685916327,0,1.206335266,0,1.037521669,0.905135171,0,0,0.123673766,0,2.806567482,0.638124066,4.913478675,0.429954959
02,170,02170,0.990297155,0.837684902,2.323276941,0.268419754,1.055997736,1.213479694,0.954785997,0.53506558,0.418741646,0.875106037,1.346140301,0.962413411,1.292420854,0.468971554
02,180,02180,1.012030097,0,0.885233184,0,1.223554505,0.913561035,0,0.494768308,0.3170227,0.700022562,0.488194387,2.263827836,4.364886475,0
02,185,02185,4.107477509,40.33302108,0,0,0.46728851,0.215011683,0.14516925,0.084851901,0.894301713,0.275559622,0.413665309,0.277193107,1.597362636,0.04872184
02,195,02195,2.835045833,1.347480461,0.661429214,4.324377982,0.784980272,0.890842148,1.032109276,0.245269369,0.194953387,0.170936816,0.618705121,0.758075698,1.891816432,0
02,198,02198,1.498624533,4.832823456,0.457565165,1.5232867,0.704133505,1.206542842,0.613884719,0.566279448,0.137936811,0.666147864,1.272705154,0.382912406,6.368499814,0
02,220,02220,2.369789425,0.931029486,0.75895204,3.531790658,0.851818636,0.928020083,0.329970302,0.358514341,0.300370229,0.527222148,0.967392831,0.612279027,1.026304939,0.285605377
02,240,02240,1.567257439,11.68061183,0.947211247,0.200264707,0.934163887,0.822539835,0.249078813,0.152204987,0.786375023,0.772594063,0.908998546,0.289497475,2.882963888,1.755517356
02,261,02261,2.04793575,2.274022932,0.892988207,2.668177531,0.778472738,1.141605546,0.863769344,0.266726944,0.348128465,0.27369685,1.491002123,0.999989139,2.596660581,1.00507463
02,275,02275,2.719519973,0,0,3.942848118,0.981616226,0.92863224,0.647776648,0.401574691,0,0,0.696974277,0.695380375,1.668301297,0
02,282,02282,0,0,0,0,0.925837903,1.885174659,0,0,0.14953386,0,5.721778117,0,2.393955999,5.545154395
02,290,02290,0.450402321,0,1.173043426,0,1.15173823,0.696340633,0.436619621,0,0.157773184,1.443838918,0.340031385,1.332111412,6.331541918,0
02,999,02999,1.426429094,4.023683844,0.89836426,1.287103873,0.962018405,0.540429291,1.048164309,0.381010938,3.165819533,0.191744488,0.061514769,0.436079069,0.50739431,17.4333893
04,000,04000,0.812367252,0.76949784,1.026788397,0.701785982,1.041681107,0.990532298,0.816566174,1.25907592,1.032239462,0.997295757,1.024046334,0.849332464,1.117145844,2.469120265
04,001,04001,0.243009501,0.629223422,0.461115333,0.055165971,1.148731565,0.715992815,0.585572723,0.395071023,0.166005454,1.28519933,0.568561046,1.593211304,6.760775239,0.062532421
04,003,04003,0.624579323,2.612830682,0.774444253,0.203784297,1.075467058,0.920296413,0.617020652,0.473912753,0.779048646,1.036766934,1.052358316,0.559591342,3.656751055,0.63694341
04,005,04005,0.774399428,0.237558567,0.803429548,0.852328349,1.09334888,0.890970221,0.348247179,0.375933101,0.38930216,1.017948579,2.225908417,0.912429803,1.122803178,0.992692686
04,007,04007,1.380040399,4.905687249,0.760661292,1.049522883,0.950039765,0.780879624,0.377248717,0.297752532,0.174555349,0.915248804,1.445966321,0.426286233,3.631403007,1.689711629
04,009,04009,1.18884184,7.435588263,0.868899079,0.309761224,0.978584633,1.076887781,0.370959888,0.286107636,0.199995163,1.291823736,0.794913365,0.928360273,2.501607125,1.973721384
04,012,04012,0.815794576,5.323707705,0.292387663,0.346182129,0.839047007,1.543498692,0.373447763,0.412633625,0.193218043,0.953945483,1.422206718,0.253194722,5.486316407,0.180632574
04,013,04013,0.813474434,0.284906048,1.108577896,0.739357761,1.0451805,1.02381197,0.911106982,1.52079161,1.158453752,0.912954824,0.975654508,0.843328886,0.74104631,1.742286944
04,015,04015,0.844817146,0.62831998,1.038984763,0.775345143,0.951796922,1.277691064,0.710532323,0.65602652,0.525951366,1.203549297,1.355736661,1.05825026,1.695745125,1.918691927
04,017,04017,0.574904959,1.968184864,0.827874647,0.111153307,1.12107426,0.909442852,1.817380865,0.403526056,0.297650784,1.247092723,1.166041156,0.522524943,3.154909327,1.812667387
04,019,04019,0.777172866,0.576460512,0.887455007,0.752056825,1.075468963,0.877688923,0.604721606,0.796528639,0.970201735,1.117133609,1.025424235,0.955212575,1.456973647,1.860284692
04,021,04021,1.031877937,4.534104465,0.606524033,0.679059342,1.002168853,0.868852032,0.560102628,0.407334888,0.735246853,1.000157701,0.868878736,0.740832576,3.344845328,0.831929758
04,023,04023,0.549614893,1.56100176,0.42695055,0.448562038,0.995203809,2.126676323,0.309179983,0.471506323,0.182247608,0.727381974,1.000123704,0.524054149,3.933468135,1.112255485
04,025,04025,0.982087753,1.482478761,1.298895488,0.650413948,1.015320095,1.045201543,0.502741299,0.530832908,0.469881896,1.190168767,1.386103678,0.841403353,1.406850541,1.866921408
04,027,04027,1.230318138,6.8442444,0.943331402,0.440584512,0.878348842,1.069747529,0.449135411,0.615534512,0.884884684,1.081547191,1.11230687,0.672434236,1.931833876,1.149814118
04,999,04999,0,0,0.741892407,0.207663781,0.056870876,1.845272635,2.27023576,4.356786498,3.878873675,0.464486147,0.272145453,0,0.52418496,182.7602958
06,000,06000,1.053903483,2.096343452,0.963372684,0.93131282,0.980948192,0.942542113,1.415121957,0.853613779,1.062147946,0.984141935,1.017678576,1.006642886,0.978009526,2.403850664
06,001,06001,1.05012232,0.059566455,1.195123751,1.140958692,1.004760839,0.999133718,0.961304971,0.554331564,1.243919794,1.012068741,0.863468167,1.044866533,0.629934105,2.139077383
06,005,06005,1.184408367,3.261000411,0.956905955,0.963401984,0.887922299,0.94658145,0.815601397,0.482018587,0.423993245,0.941500742,0.931869273,0.718862949,4.727119874,2.384517754
06,007,06007,0.988102902,3.13550078,0.924510765,0.661897829,0.926824101,0.934367108,0.636335203,0.79729288,0.545365941,1.587451027,1.123801028,1.515699739,1.049259465,1.892462014
06,009,06009,1.019229679,1.18808633,1.909590571,0.492260102,0.853156726,1.080007914,0.633845165,0.46254437,0.416735536,1.323306876,1.604473439,1.772174838,2.019412893,3.375343108
06,011,06011,3.786573821,21.47302961,0.177247392,2.823405514,0.407527105,0.747615582,0.065741448,0.263339645,0.189880078,0.52363035,0.56525343,0.445721982,2.204931683,0.706903229
06,013,06013,0.767767119,0.325126204,1.367991722,0.507588153,1.052638078,0.930884676,1.103352244,1.301418856,1.010343141,1.128400845,0.976997195,1.120248702,0.739590576,1.968870996
06,015,06015,0.503626705,2.876665088,0.450677886,0.131198302,0.963433289,0.803064123,0.524499478,0.476614855,0.201197047,1.110358606,1.642182483,0.297089082,6.81274057,0.491332632
06,017,06017,1.014372759,0.869538057,1.73691237,0.635427098,0.917051901,0.804919474,0.523341434,1.553684343,0.746462731,1.053945272,1.634041802,1.158908615,1.464113583,2.473793103
06,019,06019,1.871048845,10.83054461,0.903803899,0.897443275,0.79286608,0.933972594,0.518196007,0.651559312,0.61527223,1.161880332,0.810345858,0.961749343,0.964756938,1.442326659
06,023,06023,0.824262673,2.098604902,0.910682064,0.561561999,0.936819921,1.152723369,0.521496118,0.674566073,0.445612666,1.354548192,1.362029099,1.46629931,1.911867675,2.212629682
06,025,06025,1.814770278,14.02395098,0.916195124,0.248794334,0.737174146,1.178546539,0.259573656,0.394782797,0.305267731,1.227148065,0.711177117,0.469303868,2.762498489,1.490691832
06,027,06027,0.582476278,0.800268902,0.795831428,0.427251872,1.111033935,0.910987546,0.269370041,0.33929322,0.254303717,1.138234074,1.990781505,0.89240062,2.349691543,1.359175418
06,029,06029,2.449082451,18.16198685,1.082383187,0.552674397,0.675110835,0.861396434,0.445521552,0.474925032,0.580954196,0.87931017,0.715899258,0.68881209,1.682427334,1.51460154
06,031,06031,2.120794118,11.65458898,0.38393555,1.484215453,0.827104339,0.648121749,0.202805544,0.35703395,0.217135682,1.130821468,0.596879929,0.383132754,2.629371052,1.481422113
06,033,06033,1.274886122,9.531317896,0.595728649,0.256385476,0.813942837,1.01761118,0.392540898,0.458882874,0.236255269,1.793717462,1.171672566,0.635778225,1.81374349,1.690726786
06,035,06035,0.610745128,5.166783224,0.2714313,0.028385228,1.001210822,0.607919037,0.448975648,0.278944163,0.142221671,0.741300619,0.683433084,1.026938783,10.04923205,0.16227683
