CSA	CBSA	Name	Total	One	Two	ThreeFour	FiveMore	FiveStruct
999	10180	AbileneTX	284	284	0	0	0	0
184	10420	AkronOH	763	684	0	16	63	1
999	10500	AlbanyGA	271	235	22	9	5	1
440	10540	AlbanyOR	393	270	2	0	121	11
104	10580	AlbanySchenectadyTroyNY	2231	1203	62	127	839	70
106	10740	AlbuquerqueNM	2543	2128	12	67	336	15
999	10780	AlexandriaLA	323	311	12	0	0	0
408	10900	AllentownBethlehemEaston*PANJ	1801	1051	2	14	734	38
999	11020	AltoonaPA	100	88	4	0	8	1
108	11100	AmarilloTX	918	496	6	44	372	13
218	11180	AmesIA	539	179	10	0	350	22
999	11260	Anchorage*AK	887	671	18	22	176	19
220	11460	AnnArborMI	570	385	2	0	183	14
999	11500	AnnistonOxfordJacksonvilleAL	114	102	0	0	12	1
118	11540	AppletonWI	930	508	36	40	346	35
120	11700	AshevilleNC	1832	1408	8	0	416	31
122	12020	AthensClarkeCountyGA	930	502	2	4	422	19
122	12060	AtlantaSandySpringsRoswell*GA	26683	16984	40	217	9442	165
428	12100	AtlanticCityHammonton*NJ	722	392	38	10	282	24
194	12220	AuburnOpelika*AL	943	751	4	0	188	10
999	12260	AugustaRichmondCountyGASC	2847	2416	4	40	387	20
999	12420	AustinRoundRock*TX	19949	11515	256	188	7990	273
999	12540	BakersfieldCA	2297	1885	26	29	357	29
548	12580	BaltimoreColumbiaTowson*MD	7100	4662	70	14	2354	54
999	12620	BangorME	231	213	6	12	0	0
148	12700	BarnstableTownMA	640	530	4	15	91	15
999	12940	BatonRougeLA	3568	3294	0	4	270	6
310	12980	BattleCreekMI	56	34	2	0	20	1
474	13020	BayCityMI	62	37	0	0	25	5
999	13140	BeaumontPortArthurTX	1606	1068	194	0	344	24
999	13220	BeckleyWV	125	120	0	0	5	1
999	13380	BellinghamWA	1007	542	42	23	400	16
140	13460	BendRedmond*OR	1330	1274	24	0	32	5
999	13740	BillingsMT	651	517	4	16	114	9
999	13780	BinghamtonNY	85	85	0	0	0	0
142	13820	BirminghamHoover*AL	3364	2318	2	85	959	18
999	13900	BismarckND	1771	883	26	8	854	18
999	13980	BlacksburgChristiansburgRadford	353	297	8	0	48	2
145	14010	BloomingtonIL	271	257	2	6	6	1
144	14020	BloomingtonIN	539	233	36	0	270	17
146	14100	BloomsburgBerwickPA	113	107	2	4	0	0
147	14260	BoiseCity*ID	5183	3481	16	375	1311	64
148	14460	BostonCambridgeQuincy*MANH	12024	4991	306	245	6482	225
216	14500	BoulderCO	1371	560	46	23	742	41
150	14540	BowlingGreenKY	603	417	8	26	152	12
500	14740	BremertonSilverdaleWA	598	519	4	4	71	1
408	14860	BridgeportStamfordNorwalkCT	1889	987	38	62	802	17
154	15180	BrownsvilleHarlingenTX	1417	1179	66	30	142	3
999	15260	BrunswickGA	462	462	0	0	0	0
160	15380	BuffaloCheektowagaNiagaraFalls	1878	1057	24	56	741	55
268	15500	BurlingtonNC	606	593	6	7	0	0
999	15540	BurlingtonSouthBurlingtonVT	706	368	52	25	261	8
548	15680	CaliforniaLexingtonParkMD	457	451	0	0	6	1
184	15940	CantonMassillonOH	551	404	12	70	65	6
162	15980	CapeCoralFortMyers*FL	4095	3112	66	167	750	43
164	16020	CapeGirardeauJacksonMOIL	187	163	12	0	12	1
999	16060	CarbondaleMarionIL	245	86	16	22	121	1
456	16180	CarsonCity*NV	35	33	2	0	0	0
999	16220	CasperWY	330	330	0	0	0	0
168	16300	CedarRapidsIA	881	644	70	113	54	2
548	16540	ChambersburgWaynesboro*PA	356	251	12	32	61	5
999	16580	ChampaignUrbanaIL	1489	366	10	4	1109	41
170	16620	CharlestonWV	321	88	16	29	188	18
999	16700	CharlestonNorthCharleston*SC	6155	4144	0	0	2011	51
172	16740	CharlotteConcordGastoniaNCSC	18537	11306	56	75	7100	238
999	16820	CharlottesvilleVA	873	706	18	0	149	7
174	16860	ChattanoogaTNGA	2346	1226	24	10	1086	31
999	16940	CheyenneWY	403	305	0	3	95	1
176	16980	ChicagoNapervilleElgin*ILINWI	15679	7723	124	439	7393	201
999	17020	ChicoCA	550	355	6	6	183	20
178	17140	CincinnatiOHKYIN	5206	3218	28	137	1823	102
999	17300	ClarksvilleTNKY	1507	1276	36	51	144	15
174	17420	ClevelandTN	689	419	20	84	166	8
184	17460	ClevelandElyria*OH	2900	2256	44	81	519	31
518	17660	CoeurdAleneID	1047	820	54	0	173	23
999	17780	CollegeStationBryanTX	1803	972	32	36	763	28
999	17820	ColoradoSprings*CO	3673	2662	28	0	983	42
190	17860	Columbia*MO	1414	663	38	27	686	20
192	17900	Columbia*SC	4067	3300	4	3	760	36
194	17980	ColumbusGAAL	955	703	0	24	228	16
294	18020	ColumbusIN	254	254	0	0	0	0
198	18140	ColumbusOH	7044	3497	100	243	3204	189
204	18580	CorpusChristiTX	2864	1667	6	11	1180	70
440	18700	CorvallisOR	451	119	22	0	310	31
999	18880	CrestviewFortWaltonBeachDestin	1666	1564	2	8	92	4
999	19060	CumberlandMDWV	57	52	0	0	5	1
206	19100	DallasFortWorthArlingtonTX	41418	22550	182	166	18520	426
174	19140	Dalton*GA	121	115	0	0	6	1
999	19180	DanvilleIL	6	6	0	0	0	0
380	19300	DaphneFairhopeFoleyAL	1384	1364	16	4	0	0
209	19340	DavenportMolineRockIsland*IAIL	655	458	66	15	116	4
212	19380	DaytonOH	779	743	30	6	0	0
290	19460	DecaturAL	136	136	0	0	0	0
999	19500	DecaturIL	53	41	0	0	12	1
422	19660	DeltonaDaytonaBeachOrmondBeach*	1921	1749	2	0	170	8
216	19740	DenverAuroraLakewood*CO	15767	8064	310	61	7332	164
218	19780	DesMoinesWestDesMoines*IA	4436	2952	38	23	1423	58
220	19820	DetroitWarrenDearborn*MI	6295	4830	60	200	1205	69
222	20020	DothanAL	336	223	0	0	113	2
428	20100	Dover*DE	998	912	2	12	72	3
999	20220	DubuqueIA	276	248	10	0	18	1
999	20260	DuluthMNWI	598	436	12	12	138	11
450	20500	DurhamChapelHill*NC	2587	2167	2	0	418	17
408	20700	EastStroudsburgPA	153	153	0	0	0	0
232	20740	EauClaireWI	463	343	24	12	84	13
999	20940	ElCentroCA	246	185	4	3	54	5
238	21340	ElPasoTX	3043	2260	58	176	549	34
350	21060	ElizabethtownFortKnoxKY	492	292	30	4	166	19
515	21140	ElkhartGoshenIN	270	270	0	0	0	0
236	21300	ElmiraNY	61	55	6	0	0	0
240	21500	EriePA	321	166	42	10	103	5
999	21660	EugeneOR	1316	506	26	11	773	40
999	21780	EvansvilleINKY	727	568	42	11	106	5
999	21820	Fairbanks*AK	54	54	0	0	0	0
244	22020	FargoNDMN	3766	1242	4	24	2496	64
999	22140	Farmington*NM	173	173	0	0	0	0
246	22180	FayettevilleNC	1089	1012	0	0	77	3
999	22220	FayettevilleSpringdaleRogers	3353	2388	36	3	926	46
999	22380	FlagstaffAZ	560	290	6	0	264	3
220	22420	FlintMI	343	271	2	0	70	5
999	22500	FlorenceSC	379	331	8	0	40	4
999	22520	FlorenceMuscleShoalsAL	197	174	0	0	23	4
999	22540	FondduLacWI	240	106	22	0	112	7
999	22660	FortCollins*CO	2498	1627	78	15	778	45
999	22900	FortSmithAROK	604	371	86	19	128	8
258	23060	FortWayne*IN	1245	883	48	4	310	37
260	23420	FresnoCA	1892	1611	4	15	262	30
999	23460	GadsdenAL	79	79	0	0	0	0
264	23540	GainesvilleFL	799	536	0	0	263	20
122	23580	GainesvilleGA	722	714	8	0	0	0
276	23900	Gettysburg*PA	272	222	0	10	40	8
104	24020	GlensFallsNY	368	260	0	34	74	10
999	24140	GoldsboroNC	257	257	0	0	0	0
999	24220	GrandForksNDMN	999	314	0	0	685	14
